http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Região;Unidade da Federação (UF);Latitude;Longitude
CENTRO-OESTE;MT;-15,0780090;-55,9948592
CENTRO-OESTE;MT;-16,0484687;-60,0615945
CENTRO-OESTE;MT;-15,3391685;-58,8698259
CENTRO-OESTE;MT;-11,9887645;-59,4279203
CENTRO-OESTE;MT;-12,9191203;-58,0465097
CENTRO-OESTE;MT;-14,4472217;-58,4211914
CENTRO-OESTE;MT;-15,6589788;-57,2704587
CENTRO-OESTE;MT;-16,1901133;-54,7846320
CENTRO-OESTE;MT;-15,6913561;-52,8057016
CENTRO-OESTE;MT;-14,8548304;-57,1899056
CENTRO-OESTE;MT;-16,1774733;-56,7402028
CENTRO-OESTE;MT;-16,4187588;-54,0770416
CENTRO-OESTE;MT;-15,3179954;-57,8735109
CENTRO-OESTE;MT;-14,5684430;-57,7381279
CENTRO-OESTE;MT;-14,6628918;-57,3336678
CENTRO-OESTE;MT;-14,7414398;-57,0525326
CENTRO-OESTE;MT;-14,5069836;-56,6542425
CENTRO-OESTE;MT;-15,4986519;-60,0822530
CENTRO-OESTE;MT;-15,9712881;-58,7722424
CENTRO-OESTE;MT;-15,8176434;-58,0874894
NORDESTE;AL;-09,5568293;-35,7793247
NORDESTE;AL;-09,0490492;-35,3914648
NORDESTE;AL;-09,3867758;-37,9913943
NORDESTE;AL;-09,1375759;-37,3153682
NORDESTE;AL;-08,9428768;-35,1740128
NORDESTE;AL;-09,2319023;-35,3495273
NORDESTE;AL;-09,2799240;-35,4536864
NORDESTE;AL;-09,6761413;-35,7188009
NORDESTE;AL;-09,5197849;-36,9875975
NORDESTE;AL;-09,7606541;-36,5067530
NORDESTE;AL;-09,3112041;-35,9455873
NORDESTE;BA;-12,0786699;-44,9996363
NORDESTE;BA;-13,2600054;-43,4212382
NORDESTE;BA;-14,0083512;-39,8695509
NORDESTE;BA;-14,2172134;-39,3160122
NORDESTE;BA;-13,6872217;-40,4105834
NORDESTE;BA;-13,5900817;-46,1175974
NORDESTE;BA;-13,7255249;-45,9435688
NORDESTE;BA;-14,0501097;-44,4878416
NORDESTE;BA;-14,1347909;-44,8231733
NORDESTE;BA;-14,2549072;-45,2874899
NORDESTE;BA;-14,7554696;-45,3951451
NORDESTE;BA;-12,9687402;-38,5202074
NORDESTE;BA;-13,2555584;-43,4217352
NORDESTE;BA;-13,2983001;-43,7403946
NORDESTE;BA;-12,6822414;-38,2899356
